,fit_time,score_time,test_score,train_score
Dummy,0.034 (+/- 0.002),0.005 (+/- 0.001),0.847 (+/- 0.000),0.847 (+/- 0.000)
Decision tree,0.309 (+/- 0.009),0.007 (+/- 0.000),0.852 (+/- 0.001),0.852 (+/- 0.000)
Logistic regression,0.115 (+/- 0.005),0.006 (+/- 0.001),0.847 (+/- 0.000),0.847 (+/- 0.000)
Knn,0.047 (+/- 0.002),1.222 (+/- 0.038),0.847 (+/- 0.000),0.847 (+/- 0.000)
